Entity_ID,VH_Domain,Initial_Investment,Annual_Operating_Cost,Technology_Cost,Staffing_Cost,Training_Cost,Infrastructure_Cost,Maintenance_Cost,Cost_Source,Confidence_Level
Matches Entity_ID in Organization_Profile,Care Delivery / Digital Twin / Workforce Simulation / Immersive Training,One-time initial investment (USD),Recurring annual operating cost (USD),Technology/software cost (USD),Staffing cost (USD),Training cost (USD),Infrastructure/hardware cost (USD),Ongoing maintenance cost (USD),Where the cost figures came from,High / Medium / Low / Estimated
ORG-001,Digital Twin,1200000,350000,600000,250000,80000,220000,150000,"Vendor quote, 2024",Medium
ORG-001,Care Delivery,"$54,000,000 (facility construction, 2015)",Not publicly disclosed,Not publicly disclosed,Not publicly disclosed (~480 dedicated staff),Not publicly disclosed,Included within the $54M facility build,Not publicly disclosed,STLtoday (2015); BD+C Network case study,High (facility cost only; all other fields unconfirmed)
ORG-002,Care Delivery,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,No public cost breakdown identified for Kaiser Permanente's program,Low
ORG-003,Care Delivery,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,"MGB-specific costs not disclosed. For context, a comparable hospital-at-home program (UMass Memorial, using similar Best Buy Health technology) reported a $1.5M-$2M startup investment (Becker's Hospital Review, 2023) - this figure is NOT MGB's own cost and is included for reference only.",Low
ORG-004,Care Delivery,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,No public cost breakdown identified for Atrium Health's program,Low
ORG-005,Care Delivery,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,No public cost breakdown identified for Mayo Clinic's program,Low
ORG-006,Digital Twin,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Consulting/simulation engagement cost not stated in the AnyLogic case study,Low
ORG-007,Digital Twin,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Decision Lab consulting engagement cost not stated in the AnyLogic case study,Low
ORG-008,Workforce Simulation,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,"Academic research program; likely grant-funded, but figures not stated in JMIR (2026)",Low
ORG-009,Immersive Training,"$6,800,000 (13,000 sq. ft. facility build)",Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Not publicly disclosed,Included within the $6.8M facility cost,Not publicly disclosed,Baltimore Sun (2017),High (facility cost only; all other fields unconfirmed)
ORG-010,Immersive Training,Not publicly disclosed (subscription-based SaaS model),Priced via one-time setup fee plus monthly/quarterly/biannual/annual subscription tiers (amounts not publicly listed),Not publicly disclosed,Not applicable (vendor-hosted),Not publicly disclosed,"Not applicable (cloud-hosted, no customer-side infrastructure)",Not publicly disclosed,"SIIM.org, 'Virtual Hospital SIIMulator (VHS)' pricing page",Medium (pricing structure disclosed; amounts are not)
