Entity_ID,Clinical_Readiness_Score,Clinical_Leadership_Support,Physician_Buy_In,Patient_Population_Fit,Care_Pathway_Definition,Technology_Readiness,EHR_Integration,Cloud_Infrastructure,Data_Availability,AI_Capability,Cybersecurity_Readiness,Workforce_Readiness,Training_Capability,Staff_Availability,Change_Management,Digital_Literacy,Financial_Readiness,Investment_Capability,ROI_Model_Available,Payer_Reimbursement,Funding_Source,Notes_Source
Matches Entity_ID in Organization_Profile,"Overall clinical readiness, 1-5","Clinical leadership support, 1-5","Physician buy-in, 1-5","Fit with patient population, 1-5","Care pathway definition maturity, 1-5","Overall technology readiness, 1-5","EHR integration capability, 1-5","Cloud infrastructure maturity, 1-5","Data availability, 1-5","AI/analytics capability, 1-5","Cybersecurity readiness, 1-5","Overall workforce readiness, 1-5","Training capability, 1-5","Staff availability, 1-5","Change management maturity, 1-5","Staff digital literacy, 1-5","Overall financial readiness, 1-5","Capital investment capability, 1-5",Is a validated ROI model available?,"Payer reimbursement support, 1-5",Internal capital / Grant / Loan / Philanthropy / Other,"All numeric readiness scores in this sheet are ILLUSTRATIVE ANALYST ESTIMATES based on program scale, maturity, and public reporting - not an official self-assessment by the organization. ROI_Model_Available is left blank where no public information exists rather than guessed."
ORG-001,4,4,4,4,3,5,4,5,5,4,4,3,3,3,3,3,4,4,Yes,3,Internal Capital,
ORG-001,5,5,4,4,5,5,5,4,5,3,4,4,5,4,4,4,4,5,Yes,3,Internal Capital,"Estimated from Mercy Virtual's decade-long track record and 480+ dedicated staff (STLtoday, 2015)."
ORG-002,4,4,4,4,4,4,5,4,4,3,4,3,3,3,3,4,5,5,Yes,3,Internal Capital,Estimated from Kaiser's scale (12.5M+ members) and Epic-based (KP HealthConnect) infrastructure.
ORG-003,4,4,4,4,4,4,5,3,4,2,4,3,3,3,3,4,4,4,Yes,3,Internal Capital,Estimated from MGB's academic medical center scale and multi-hospital expansion since 2016.
ORG-004,5,5,4,5,5,4,5,4,4,3,4,4,4,4,4,4,5,5,Yes,3,Internal Capital,Estimated from Atrium/Advocate Health's status as the nation's largest hospital-at-home program.
ORG-005,5,5,4,4,4,5,5,4,5,4,4,4,4,3,4,4,5,5,,3,Internal Capital,Estimated from Mayo Clinic's Epic-embedded predictive algorithms; ROI model existence not publicly confirmed.
ORG-006,3,3,3,4,3,3,2,2,3,1,2,3,3,3,3,3,3,3,,2,Internal Capital,Estimated for a single-clinic discrete-event simulation pilot; ROI model existence not stated in source.
ORG-007,3,3,3,3,3,3,2,3,3,1,2,3,3,3,3,3,3,2,,2,Other (public/NHS funding),Estimated for an NHS Trust pilot digital twin; ROI model existence not stated in source.
ORG-008,2,3,3,3,2,3,2,3,3,2,2,3,3,3,3,3,2,2,No,1,Grant,"Estimated for an early-stage academic research program still in development (JMIR, 2026)."
ORG-009,4,4,4,4,4,4,3,3,3,2,3,5,5,5,4,4,4,4,,1,Internal Capital,"Estimated for a mature, purpose-built simulation training facility; readiness framed for training context, not clinical deployment."
ORG-010,3,3,3,3,3,4,3,4,3,2,4,4,4,3,3,3,3,3,,1,Internal Capital,"Estimated for a vendor-run, cloud-native training sandbox; readiness framed for training context, not clinical deployment."
