Entity_ID,VH_Domain,VH_Type,Implementation_Status,Start_Year,Technology_Category,Vendor_or_Internal,Deployment_Model,Target_Population,Clinical_Area
Matches Entity_ID in Organization_Profile,Care Delivery / Digital Twin / Workforce Simulation / Immersive Training,"Specific solution type, e.g. Hospital-at-home, VR procedural training",Planned / Pilot / Active / Discontinued,Year the implementation began,"Core technology category, e.g. Remote monitoring, Simulation software, VR/AR",Vendor / Internal / Hybrid,Cloud / On-premise / Hybrid,Patient or staff population targeted,Clinical specialty or department
ORG-001,Digital Twin,Operational optimization,Active,2023,Predictive simulation platform,Vendor,Cloud,"Inpatient units, hospital-wide",Operations / Capacity Management
ORG-001,Care Delivery,"Virtual care hub (telehealth ICU, virtual nursing, tele-specialty, hospital-at-home enablement)",Active,2015,Remote patient monitoring + telemedicine platform,Internal,Hybrid,"Patients across Mercy's 34-hospital, 5-state network","Multi-specialty (critical care, cardiology, behavioral health, primary care)"
ORG-002,Care Delivery,Hospital-at-home (Advanced Care at Home),Active,2021,Remote monitoring + Medically Home logistics platform,Hybrid (Internal clinical model + vendor logistics),Hybrid,"Acute-care-eligible adult patients (CA, GA, Mid-Atlantic, Northwest)",General acute medicine
ORG-003,Care Delivery,Hospital-at-home (Healthcare at Home),Active,2016,Remote monitoring + Best Buy Health in-home technology,Hybrid (Internal + vendor tech),Hybrid,"Adult acute-care patients at MGH, Brigham & Women's + 3 additional hospitals",General acute medicine
ORG-004,Care Delivery,Hospital-at-home (AH-HaH) + virtual nursing + virtual behavioral health,Active,2020,"Remote monitoring, virtual nursing platform, Best Buy Health technology",Hybrid (Internal + vendor tech),Hybrid,"Adult and pediatric (Levine Children's) patients across the Carolinas, Georgia, Alabama","Acute, post-surgical, chronic disease, pediatrics, behavioral health"
ORG-005,Care Delivery,Hospital-at-home (Advanced Care at Home),Active,2020,Epic-embedded clinical stability/risk scoring + remote monitoring,Hybrid (Internal + Medically Home vendor),Hybrid,"Eligible acute-care patients across MN, AZ, FL, and Mayo Clinic Health System",General acute medicine
ORG-006,Digital Twin,Discrete-event simulation for outpatient clinic scheduling/patient flow,Active,2019,Discrete-event simulation software (AnyLogic),Vendor (Texas A&M University contractors + AnyLogic),On-Premise,Outpatient multispecialty clinic patients and physicians,Outpatient scheduling / multispecialty clinic operations
ORG-007,Digital Twin,Hospital operations digital twin (ward bed utilization + ED triage/trolley modeling),Pilot,2022,Discrete-event simulation software (AnyLogic),Vendor (Decision Lab),Cloud,Patients across two NHS Foundation Trust hospitals in England,"Hospital-wide operations (wards, emergency department)"
ORG-008,Workforce Simulation,Staff burnout-trajectory prediction + primary care workflow digital twin,Planned,2025,Simulation modeling (workflow + workforce analytics),Internal (university research),On-Premise,Primary care clinicians and staff at Carilion School of Medicine,Primary care / workforce planning
ORG-009,Immersive Training,VR + high-fidelity manikin procedural and resuscitation training,Active,2017,VR simulation + high-fidelity manikins,Internal,On-Premise,"Nursing/medical students, house-staff, and external client trainees","Procedural skills (intubation, central lines, cardiac catheterization), resuscitation training"
ORG-010,Immersive Training,Cloud-based imaging informatics training sandbox (Virtual Hospital SIIMulator / VHP),Active,2025,Cloud-native web-based simulation platform,"Vendor (SIIM, built on acquired OTech training assets)",Cloud,"Imaging informatics professionals, technologists, students, vendor teams (national)","Enterprise imaging informatics (PACS, DICOM, HL7, FHIR)"
