Entity_ID,Outcome_Category,Metric_Name,Baseline_Value,Post_Implementation_Value,Improvement_Percentage,Measurement_Time,Evidence_Strength,Source
Matches Entity_ID in Organization_Profile,Readmission / ED Wait / Cost / Patient Satisfaction / Staff Workload / Other,"Specific metric name, e.g. 30-day readmission rate",Value before implementation,Value after implementation,% improvement (calculate manually or leave blank),"Time point of measurement post-implementation, e.g. 6 months, 1 year",Anecdotal / Observational / Peer-Reviewed / RCT,Citation or source of the data
ORG-001,Readmission,30-day all-cause readmission rate,18%,13%,27.8%,12 months,Observational,"Internal QI report, 2024"
ORG-001,Other,Beds monitored via centralized virtual care hub,"0 (pre-2015, no centralized virtual monitoring)","~2,431 beds across 34 hospitals in 5 states","N/A (capacity metric, not a before/after clinical outcome)",As of 2024,Observational,"KFF Health News (2024), 'Virtual Care Spreads in Missouri Health System'"
ORG-002,Patient Satisfaction,Care team responsiveness (patient-reported),67% (traditional inpatient care),85% (Advanced Care at Home),+18 percentage points,2022 survey,Observational,"STAT News essay (2022), cited in AMA (2024)"
ORG-002,Patient Satisfaction,Overall care experience rating,71% (traditional inpatient care),80% (Advanced Care at Home),+9 percentage points,2022 survey,Observational,"STAT News essay (2022), cited in AMA (2024)"
ORG-003,Other,Program daily census (capacity utilization),0 (pre-2016),25-33 patients/day (2023),"N/A (capacity ramp-up, not a clinical outcome)",2023,Observational,Becker's Hospital Review (2023)
ORG-004,Readmission,30-day readmission observed-to-expected (O/E) ratio,"1.0 (expected, given case mix)","<1.0 (observed, lower than expected)",Favorable (below expected),Cumulative since March 2020,Observational,HCI Innovation Group (2024)
ORG-004,Patient Satisfaction,NRC Health patient experience rating vs. brick-and-mortar,Brick-and-mortar baseline,~13% higher rating for hospital-at-home patients,+13%,Not specified,Observational,AMA Future of Health case study (PDF)
ORG-004,Cost,Inpatient bed-days saved (cumulative),N/A,">33,000 bed days saved since March 2020",N/A (cumulative capacity metric),As of February 2024,Observational,HCI Innovation Group (2024)
ORG-005,Clinical Outcome,Use of EHR-embedded clinical stability/risk scoring for home-eligibility triage,Not applicable (new capability),Algorithm deployed within Epic to score patient stability and home/social environment,"N/A (process capability, not quantified in public source)",As of 2023,Anecdotal,Becker's Hospital Review (2023)
ORG-006,Other,Outpatient clinic no-show rate,30% (pre-simulation),Reduced via predictive/optimized scheduling model (exact post-implementation rate not disclosed publicly),Not quantified in public source,Not stated,Observational,"AnyLogic case study, 'Improving Patient Flow at an Outpatient Clinic Using Discrete Event Simulation Modeling'"
ORG-007,ED Wait,"ED triage/trolley wait time and ward bed utilization (general digital-twin benchmark, not trust-specific)",Pre-digital-twin operations,"Industry-reported range across AnyLogic healthcare projects: 20%-40% ED wait reduction, 10%-20% throughput increase (not confirmed specifically for this NHS Trust)","20%-40% (general industry benchmark, not this project's confirmed result)",Not stated,Observational,"JMIR (2026), quoting AnyLogic regional director David Andersen"
ORG-008,Staff Workload,Clinician burnout-trajectory prediction model,N/A,Pilot in development; no results published yet,N/A (in development),2025-2026,Anecdotal,"JMIR (2026), 'How Digital Twins Can Improve Health System Operations'"
ORG-009,Clinical Outcome,"Simulation training linked to emergency-response performance (e.g., CPR technique)",Traditional lecture/talk-through training,"Faster, higher-quality performance reported in simulated/real emergencies",Qualitative improvement reported; not numerically quantified in source,Ongoing,Peer-Reviewed,"Baltimore Sun (2017), citing Johns Hopkins research led by Dr. Elizabeth Hunt"
ORG-010,Other,Platform scalability / concurrent-learner capacity,Legacy VHP (OTech-based platform),Expanded auto-scaling and more simultaneous learners on cloud-native VHP 2.0,Qualitative capacity increase; not numerically disclosed,2025 (SIIM25 launch),Anecdotal,"SIIM.org press release (2025), VHP 2.0 launch announcement"
