Entity_ID,PA01_Bed_Capacity_Shortage,PA01_Long_ED_Wait,PA01_Geographic_Access_Barrier,PA01_Specialist_Access_Gap,PA01_Post_Acute_Bottleneck,PA01_After_Hours_Coverage,PA02_High_Inpatient_Cost,PA02_Readmission_Cost,PA02_Operating_Margin,PA02_Inefficient_Utilization,PA02_Revenue_Leakage,PA02_High_Site_Overhead,PA03_High_Readmission,PA03_Deterioration_Detection,PA03_Chronic_Disease_Control,PA03_Post_Discharge_Monitoring,PA03_Medication_Adherence,PA03_Diagnostic_Delay,PA04_Physician_Burnout,PA04_Staffing_Shortage,PA04_On_Call_Burden,PA04_Specialist_Retention,PA04_Productivity_Inefficiency,PA04_Rural_Recruitment,PA05_Competitive_Virtual_Care,PA05_Payer_Pressure,PA05_Market_Share,PA05_Regulatory_Pressure,PA05_Brand_Differentiation,PA05_Partner_Expectation,Notes_Source
Matches Entity_ID in Organization_Profile,"Bed capacity shortage. 0=No, 1=Present, 2=Severe","Long ED wait times. 0=No, 1=Present, 2=Severe","Geographic access barriers. 0=No, 1=Present, 2=Severe","Specialist access gap. 0=No, 1=Present, 2=Severe","Post-acute bottleneck. 0=No, 1=Present, 2=Severe","After-hours coverage gaps. 0=No, 1=Present, 2=Severe","High cost per inpatient stay. 0=No, 1=Present, 2=Severe","Avoidable readmission costs. 0=No, 1=Present, 2=Severe","Shrinking operating margin. 0=No, 1=Present, 2=Severe","Inefficient care utilization. 0=No, 1=Present, 2=Severe","Revenue leakage. 0=No, 1=Present, 2=Severe","High overhead per site. 0=No, 1=Present, 2=Severe","High readmission rates. 0=No, 1=Present, 2=Severe","Preventable in-hospital deterioration. 0=No, 1=Present, 2=Severe","Poor chronic disease outcomes. 0=No, 1=Present, 2=Severe","Post-discharge monitoring gap. 0=No, 1=Present, 2=Severe","Medication non-adherence. 0=No, 1=Present, 2=Severe","Diagnostic delay. 0=No, 1=Present, 2=Severe","Physician and nurse burnout. 0=No, 1=Present, 2=Severe","Staffing shortages. 0=No, 1=Present, 2=Severe","On-call burden. 0=No, 1=Present, 2=Severe","Specialist retention difficulty. 0=No, 1=Present, 2=Severe","Productivity inefficiency. 0=No, 1=Present, 2=Severe","Rural staffing impossibility. 0=No, 1=Present, 2=Severe","Competitor virtual care threat. 0=No, 1=Present, 2=Severe","Payer contract pressure. 0=No, 1=Present, 2=Severe","Market share decline. 0=No, 1=Present, 2=Severe","Regulatory mandate. 0=No, 1=Present, 2=Severe","Brand differentiation gap. 0=No, 1=Present, 2=Severe","Partnership pressure. 0=No, 1=Present, 2=Severe","Analyst interpretation of each program's publicly stated motivations, mapped to the closest pain categories. These are illustrative inferences, NOT an official pain assessment self-reported by the organization."
ORG-001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
ORG-001,1,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,"Inferred from Mercy Virtual's founding rationale: rural/geographic access gaps, specialist shortages, after-hours coverage, and rural staffing difficulty across Mercy's multi-state footprint (KFF Health News, 2024)."
ORG-002,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Inferred from Kaiser Permanente's stated drivers: inpatient bed pressure, high cost per stay, and staffing considerations behind moving eligible patients to home-based acute care (AMA, 2024; Becker's, 2024)."
ORG-003,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Inferred from MGB's stated goal of reaching 10% of inpatient capacity via hospital-at-home, and post-discharge monitoring emphasis (Becker's Hospital Review, 2023)."
ORG-004,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Inferred from Atrium Health's stated COVID-era capacity crisis, its sub-1.0 readmission O/E ratio goal, and explicit mention of combating clinician burnout (AMA Future of Health case study; HCI Innovation Group, 2024)."
ORG-005,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Inferred from Mayo Clinic's use of EHR-embedded risk scoring to identify home-eligible patients and manage post-discharge monitoring (Becker's Hospital Review, 2023)."
ORG-006,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Inferred from the clinic's core problem statement: a 30% no-show rate driven by inconsistent, preference-based scheduling rules (AnyLogic case study)."
ORG-007,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Inferred from the case study's stated focus on ward bed utilization and ED triage/trolley wait time (AnyLogic / Decision Lab case study, 2022)."
ORG-008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,"Inferred from the program's explicit research aim of predicting clinician burnout trajectories and improving primary care workflow productivity (JMIR, 2026)."
