Entity_ID,Organization_Name,Organization_Type,Country,Region,Bed_Count,Annual_Admissions,ED_Volume,Patient_Population,Urban_Rural_Status,Health_System_Size,Digital_Maturity_Level,AI_Maturity_Level,Existing_Telehealth,Existing_Digital_Twin,Data_Infrastructure_Level,EHR_System,Interoperability_Level,Source_Type,Source_Citation
"Unique identifier, e.g. ORG-001. Use the same ID across all sheets.",Hospital or health system name,Academic Medical Center / Community / Rural / Specialty / Other,Country location,Geographic region / state / province,Number of licensed beds,Annual inpatient admissions,Annual emergency department visit volume,Approx. population served / catchment size,Urban / Suburban / Rural,Small / Medium / Large,Overall digital maturity: Low / Medium / High,AI/analytics maturity: Low / Medium / High,Does telehealth infrastructure already exist?,Does an operational digital twin already exist?,Data infrastructure maturity: Low / Medium / High,"EHR vendor, e.g. Epic, Cerner, Meditech",Interoperability maturity: Low / Medium / High,Case study / Interview / Literature / Internal data / Vendor report,"Public source(s) this row's facts were drawn from. Fields marked (estimated) were inferred, not published, and are noted as such."
ORG-001,Riverside Academic Medical Center,Academic Medical Center,United States,Midwest,800,32000,95000,1.2M,Urban,Large,High,High,Yes,No,High,Epic,High,Case Study,
ORG-001,Mercy Virtual (Mercy Virtual Care Center),Other,United States,"Midwest (Chesterfield, MO)","0 physical beds — monitors ~2,431 beds across 34 partner hospitals","N/A (virtual monitoring hub, not an admitting facility)",N/A,"Patients across 34 hospitals in 5 states (MO, OK, KS, AR + partners)",Suburban,Large,High (estimated),Medium (estimated),Yes,No,High (estimated),Epic,High (estimated),Case Study,"Wikipedia: Mercy Virtual; STLtoday (2015); KFF Health News (2024), 'Virtual Care Spreads in Missouri Health System'"
ORG-002,Kaiser Permanente Advanced Care at Home,Integrated Health System,United States,"West / Multi-region (CA, GA, Mid-Atlantic, Northwest)","N/A (home-based virtual capacity, no dedicated unit)",~80 patients/day average census across regions (2024),N/A,"Kaiser Permanente members, multi-region",Urban,Large,High (estimated),Medium (estimated),Yes,No,High (estimated),Epic (KP HealthConnect),High (estimated),Case Study,"Becker's Hospital Review (2023, 2024); AMA (2024), 'Virtual acute-care program makes patients feel right at home'"
ORG-003,Mass General Brigham Healthcare at Home,Academic Medical Center,United States,"Northeast (Boston, MA)",~40-bed virtual program capacity (not licensed physical beds),~25-33 patients/day census (2023),N/A,"Patients across MGH, Brigham & Women's, and 3 additional hospitals",Urban,Large,High (estimated),Medium (estimated),Yes,No,High (estimated),Epic,High (estimated),Case Study,"Becker's Hospital Review (2023), 'Inside the top 8 hospital-at-home programs'"
ORG-004,Atrium Health Hospital at Home (Advocate Health),Integrated Health System,United States,"Southeast (Charlotte, NC and surrounding region)",Equivalent of a mid-size hospital's daily capacity (target 200 patients/day by 2025),">9,400 patients served cumulatively since March 2020 launch",N/A,10+ counties in the Charlotte region; part of Advocate Health's 68-hospital network,Urban,Large,High (estimated),Medium (estimated),Yes,No,High (estimated),Epic,High (estimated),Case Study,HCI Innovation Group (2024); AHA Center for Health Innovation (2024); AMA Future of Health case study
ORG-005,Mayo Clinic Advanced Care at Home,Academic Medical Center,United States,"Midwest (Rochester, MN and Mayo Clinic Health System sites)",N/A (home-based virtual capacity),Not publicly disclosed (program active as of 2023-2024),N/A,"Mayo Clinic patients across MN, AZ, FL and regional Health System sites",Urban,Large,High (estimated),High (estimated — Epic-embedded predictive risk algorithms),Yes,No,High (estimated),Epic,High (estimated),Case Study,"Becker's Hospital Review (2023), 'Inside the top 8 hospital-at-home programs'"
ORG-006,Indiana University Health Arnett Hospital,Community,United States,"Midwest (Lafayette, IN)",191 licensed beds,N/A (source focuses on outpatient clinic capacity),N/A,"Regional community, Lafayette, IN area",Suburban,Medium,Medium (estimated),"Low (estimated — discrete-event simulation, not AI/ML)",No (not stated),Yes (AnyLogic-based simulation of clinic no-show/capacity),Medium (estimated),Not stated in source,Medium (estimated),Case Study,"AnyLogic case study, 'Hospital Digital Twin to Improve Operations and Enhance Patient Experience'; Wikipedia: Indiana University Health Arnett Hospital (191 beds, opened 2006, Level III trauma center)"
ORG-007,NHS Hospital Trust — Digital Twin Capacity Model (anonymized in source),Other,United Kingdom,Not disclosed in source,Not disclosed (ward-level bed utilization modeled),Not disclosed,"Modeled (triage time, trolley utilization) — figures not disclosed",NHS regional catchment (not disclosed),Not disclosed,Large,Medium (estimated),"Low (estimated — discrete-event simulation, not AI/ML)",Not stated,Yes,Medium (estimated),Not stated,Medium (estimated),Case Study,"AnyLogic / Decision Lab case study, presented by Peter Riley at AnyLogic Conference 2022"
ORG-008,Virginia Tech Carilion School of Medicine — Digital Twin Research Program,Academic Medical Center,United States,"Southeast (Blacksburg / Roanoke, VA)","N/A (research/academic program, not a bedded facility)",N/A,N/A,Primary care practice patients; medical staff (burnout research),Suburban,Medium,Medium (estimated),Medium (estimated),Not stated,Yes (in development — primary care workflow and staff burnout trajectory models),Medium (estimated),Not stated,Medium (estimated),Literature,"JMIR (2026), 'How Digital Twins Can Improve Health System Operations'"
ORG-009,Johns Hopkins Medicine Simulation Center,Academic Medical Center,United States,"Mid-Atlantic (Baltimore, MD)","N/A (13,000 sq. ft. simulation facility, not a patient-bedded unit)",N/A,N/A,"Nursing/medical students, house-staff, and external client trainees (not patients)",Urban,Large,High (estimated),"Low (estimated — manikin/VR-based, not AI-driven)","No (training facility, not applicable)",No,Medium (estimated),Epic (parent health system),Medium (estimated),Case Study,Baltimore Sun (2017); Johns Hopkins Medicine Simulation Center website; HFM Magazine
ORG-010,SIIM Virtual Hospital Platform (VHP) SIIMulator,Other,United States,"Leesburg, VA (SIIM HQ); cloud-delivered nationally","N/A (web-based training sandbox, not a patient-care facility)",N/A,N/A,"Imaging informatics trainees — technologists, IT staff, students, clinicians, vendor teams",N/A,Small (SIIM organization itself: 2-10 employees),High (cloud-native platform),"Low (estimated — simulation/sandbox, not AI-driven)",No,No,"High (estimated — cloud-native, auto-scaling)",Simulated PACS/HL7/FHIR/DICOM environment (not a live EHR),"High (estimated — trains on HL7, FHIR, DICOM standards)",Vendor Report,"SIIM.org, 'Virtual Hospital SIIMulator (VHS)'; SIIM press release on VHP 2.0 launch at SIIM25 (2025)"
